run_id,start_time,metrics.f1,metrics.accuracy,metrics.recall,metrics.base_rate,metrics.pr_auc_lift,metrics.roc_auc,metrics.precision,metrics.threshold,metrics.pr_auc,params.features,params.threshold_fold_precision_min,params.min_samples_leaf,params.class_weight,params.model_type,params.max_depth,params.split_strategy,params.holdout_from,params.n_test_rows,params.threshold_tuned_on,params.n_estimators,params.threshold_val_precision,params.threshold_fold_precision_spread,params.threshold_target_met,params.threshold_fold_precision_n,params.threshold_fold_precision_max,params.data_description,params.threshold_n_folds,params.random_state,params.n_jobs,params.threshold_val_recall,params.test_size,params.threshold_target_precision,params.threshold_n_val_rows,params.n_train_rows,params.learning_rate,params.max_iter,params.max_leaf_nodes,params.l2_regularization,params.C,tags.mlflow.runName
cf36217d29414d6a9b1803232a7ef8a1,2026-09-13 22:48:38.515000+00:00,0.2157571376942537,0.8622178481856567,0.13089234816926112,0.14479824756341472,2.836798955136797,0.7804268733472913,0.6135662898252826,0.49996398487257016,0.41076351739353417,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate,height_missing,weight_missing,team_size,field_size",0.4876660341555977,,,hist_gradient_boosting,,temporal,2012,31499,2007-2010;2003-2006;1999-2002,,0.6004886988393403,0.20443922900229705,True,3,0.6921052631578948,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",3,42,,0.12973472350534512,0.2,0.6,53759,238232,0.1,200,,,,hist_gb_default
495865844f694ad6a47728174bf751ca,2026-09-13 19:59:20.587000+00:00,0.23298611111111112,0.8597415790977492,0.14711686033764526,0.14479824756341472,2.836798955136797,0.7804268733472913,0.5596330275229358,0.45513156581025205,0.41076351739353417,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate,height_missing,weight_missing,team_size,field_size",,,,hist_gradient_boosting,,temporal,2012,31499,2007,,0.6,,True,,,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",,42,,0.2371495327102804,0.2,0.6,,238232,0.1,200,,,,hist_gb_default
8245782082a64b5583e95a43bbe47416,2026-09-13 18:28:08.258000+00:00,0.2157571376942537,0.8622178481856567,0.13089234816926112,0.14479824756341472,2.836798955136797,0.7804268733472913,0.6135662898252826,,0.41076351739353417,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate,height_missing,weight_missing,team_size,field_size",,,,hist_gradient_boosting,,temporal,2012,31499,,,,,,,,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",,42,,,0.2,,,238232,0.1,200,,,,hist_gb_default
280229a5262c4233988c0007854b91d1,2026-09-13 22:45:09.974000+00:00,0.02726304579339723,0.855011270199054,0.014032010524007894,0.14479824756341472,1.9830410822236126,0.7161891878073077,0.47761194029850745,0.8636424679039151,0.2871408735522365,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate,height_missing,weight_missing,team_size,field_size",0.47058823529411764,,balanced,logistic_regression,,temporal,2012,31499,2007-2010;2003-2006;1999-2002,,0.6,0.24492900608519275,True,3,0.7155172413793104,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",3,42,,0.021380493599049755,0.2,0.6,53759,238232,,2000,,,0.05,logreg_strong_reg
a836fd4478304139b7e9347d25fb611a,2026-09-13 19:57:30.849000+00:00,0.04868913857677903,0.8548525350011111,0.02565226923920193,0.14479824756341472,1.9830410822236126,0.7161891878073077,0.4775510204081633,0.8314246114474928,0.2871408735522365,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate,height_missing,weight_missing,team_size,field_size",,,balanced,logistic_regression,,temporal,2012,31499,2007,,0.6,,True,,,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",,42,,0.05724299065420561,0.2,0.6,,238232,,2000,,,0.05,logreg_strong_reg
ea8a473274f6470b80ec58c5974ad337,2026-09-13 18:26:42.170000+00:00,0.35908283272696506,0.7595161751166704,0.4652488489366367,0.14479824756341472,1.9830410822236126,0.7161891878073077,0.29236704326260676,,0.2871408735522365,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate,height_missing,weight_missing,team_size,field_size",,,balanced,logistic_regression,,temporal,2012,31499,,,,,,,,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",,42,,,0.2,,,238232,,2000,,,0.05,logreg_strong_reg
c5c1dd3590774cad9356b8111ff5ec51,2026-09-13 22:44:48.126000+00:00,0.02726304579339723,0.855011270199054,0.014032010524007894,0.14479824756341472,1.982990849984363,0.7161999069574512,0.47761194029850745,0.8637961156134006,0.287133600012022,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate,height_missing,weight_missing,team_size,field_size",0.47058823529411764,,balanced,logistic_regression,,temporal,2012,31499,2007-2010;2003-2006;1999-2002,,0.6,0.24492900608519275,True,3,0.7155172413793104,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",3,42,,0.021380493599049755,0.2,0.6,53759,238232,,2000,,,1.0,logreg_baseline
a9e2b37d4ee04d12973f23341ab7f2fc,2026-09-13 19:57:06.770000+00:00,0.04868913857677903,0.8548525350011111,0.02565226923920193,0.14479824756341472,1.982990849984363,0.7161999069574512,0.4775510204081633,0.8315002587707504,0.287133600012022,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate,height_missing,weight_missing,team_size,field_size",,,balanced,logistic_regression,,temporal,2012,31499,2007,,0.6,,True,,,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",,42,,0.05724299065420561,0.2,0.6,,238232,,2000,,,1.0,logreg_baseline
49cda12632dd4e44914a9951b55fd1fa,2026-09-13 18:26:13.468000+00:00,0.3589917103704957,0.7594209339979047,0.4652488489366367,0.14479824756341472,1.982990849984363,0.7161999069574512,0.29224624707340585,,0.287133600012022,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate,height_missing,weight_missing,team_size,field_size",,,balanced,logistic_regression,,temporal,2012,31499,,,,,,,,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",,42,,,0.2,,,238232,,2000,,,1.0,logreg_baseline
55f1396f58f4411b8ad0794601c35b78,2026-08-20 23:47:40.922000+00:00,0.37032007759456836,0.8795256740957931,0.2396134052968495,,,0.8427359889706189,0.814767392232181,,,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate",,,,hist_gradient_boosting,,,,53887,,,,,,,,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",,42,,,0.2,,,215844,0.05,400,63,1.0,,hist_gb_tuned
19187b482a984ae79e0d59942a2a17d8,2026-08-20 23:47:25.699000+00:00,0.30218769167859333,0.8733275186965316,0.18551525040793274,,,0.8234898740077208,0.8143250688705234,,,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate",,,,hist_gradient_boosting,,,,53887,,,,,,,,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",,42,,,0.2,,,215844,0.1,200,,,,hist_gb_default
dfc564de8e2b4c03931d173304e833d5,2026-08-20 23:46:39.500000+00:00,0.5392427420245061,0.8450832297214541,0.6131542613279779,,,0.8531989466895018,0.4812333760220668,,,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate",,2,balanced,random_forest,24,,,53887,,400,,,,,,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",,42,-1,,0.2,,,215844,,,,,,rf_deep
2ad3741b48224f8f870186b71c0b18ea,2026-08-20 23:46:20.183000+00:00,0.4294231683675336,0.710523874032698,0.7367892556796787,,,0.8037368471491069,0.3030146603345034,,,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate",,5,balanced,random_forest,12,,,53887,,200,,,,,,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",,42,-1,,0.2,,,215844,,,,,,rf_shallow
e3d0152504964840816766088a149a7f,2026-08-20 23:46:07.857000+00:00,0.38644965934897807,0.6991853322693785,0.6407681686958705,,,0.7414016630119277,0.2766487833956538,,,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate",,,balanced,logistic_regression,,,,53887,,,,,,,,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",,42,,,0.2,,,215844,,2000,,,0.05,logreg_strong_reg
87121adaedc44692bf5c03203e25c08e,2026-08-20 23:45:33.207000+00:00,0.38638858397365533,0.6991667749178837,0.6406426509351073,,,0.741401430672867,0.27660958161716886,,,"sex,season,age,height,weight,year,noc_medal_rate,sport_medal_rate",,,balanced,logistic_regression,,,,53887,,,,,,,,"120 years of Olympic history (athlete_events), TidyTuesday 2021-07-27 mirror, 271,116 rows",,42,,,0.2,,,215844,,2000,,,1.0,logreg_baseline
